level,country,salid,cases,cases_per_1M,deaths,deaths_per_10M
L2,AR,10112710,57413,100880,834,14654
L2,AR,10112810,8978,82546,127,11677
L2,AR,10112811,5811,57305,75,7396
L2,AR,10112812,361,32569,6,5413
L2,AR,10112813,3708,56418,38,5782
L2,AR,10112814,8997,72586,135,10891
L2,AR,10112815,6135,67834,72,7961
L2,AR,10112816,3537,66136,60,11219
L2,AR,10112910,30871,132508,354,15195
L2,AR,10113010,19560,139033,326,23172
L2,AR,10113210,59230,99748,1048,17649
L2,AR,10113211,19167,91418,292,13927
L2,AR,10113212,6327,75395,77,9176
L2,AR,10113213,13681,95894,157,11005
L2,AR,10113214,10321,113631,114,12551
L2,AR,10113310,10358,72960,230,16201
L2,AR,10113410,22344,169697,410,31138
L2,AR,10113510,11055,88907,329,26459
L2,AR,10113511,11198,109197,253,24671
L2,AR,AR888,1189790,80141,25177,16959
L2,BR,10210110,37391,100907,1054,28444
L2,BR,10210210,27917,120840,434,18786
L2,BR,10210310,81031,79940,2286,22552
L2,BR,10210311,6150,120289,98,19168
L2,BR,10210312,3359,44409,154,20360
L2,BR,10210313,1040,77740,34,25415
L2,BR,10210410,56147,123082,1375,30142
L2,BR,10210411,24951,222340,154,13723
L2,BR,10210510,184333,89582,9121,44326
L2,BR,10210610,13079,84656,262,16958
L2,BR,10210710,17948,116608,292,18971
L2,BR,10210810,48227,78097,905,14655
L2,BR,10210811,2277,60634,30,7989
L2,BR,10210910,20699,114860,511,28356
L2,BR,10211010,32342,147225,619,28178
L2,BR,10211110,16590,102705,342,21172
L2,BR,10211210,9739,66967,193,13271
L2,BR,10211310,222123,76041,7243,24796
L2,BR,10211311,23255,81051,588,20494
L2,BR,10211312,21658,113136,471,24604
L2,BR,10211313,8490,63737,223,16741
L2,BR,10211410,16357,103653,282,17870
L2,BR,10211510,32166,93715,543,15820
L2,BR,10211610,245576,94765,9063,34973
L2,BR,10211611,21278,60113,889,25116
L2,BR,10211612,20776,93787,715,32276
L2,BR,10211613,11533,93322,244,19744
L2,BR,10211614,6037,75099,225,27990
L2,BR,10211615,9275,181404,117,22883
L2,BR,10211616,4427,114862,63,16346
L2,BR,10211617,6359,81817,85,10936
L2,BR,10211618,2074,102633,38,18804
L2,BR,10211619,5894,84134,142,20270
L2,BR,10211710,27049,101672,528,19846
L2,BR,10211711,16260,126353,205,15930
L2,BR,10211712,6329,107526,135,22936
L2,BR,10211810,26473,131204,712,35288
L2,BR,10211910,424406,145602,9129,31319
L2,BR,10211911,8099,43292,291,15555
L2,BR,10211912,24224,124843,391,20151
L2,BR,10211913,4509,42269,182,17061
L2,BR,10211914,12046,78602,323,21076
L2,BR,10211915,5468,85136,122,18995
L2,BR,10212010,26033,124738,554,26545
L2,BR,10212110,15498,129365,399,33305
L2,BR,10212210,25090,153303,374,22852
L2,BR,10212310,54421,152921,1193,33523
L2,BR,10212311,39189,102643,1302,34102
L2,BR,10212312,64555,133000,1363,28081
L2,BR,10212313,63227,133740,1547,32723
L2,BR,10212314,8139,109253,240,32216
L2,BR,10212410,38915,106182,1389,37900
L2,BR,10212411,393,107172,6,16362
L2,BR,10212510,158549,110819,5252,36709
L2,BR,10212511,68464,131180,1380,26441
L2,BR,10212512,9085,77351,391,33290
L2,BR,10212513,1437,181922,34,43043
L2,BR,10212514,1016,107547,21,22229
L2,BR,10212515,3352,84891,96,24312
L2,BR,10212516,2448,123874,74,37446
L2,BR,10212517,15535,154777,309,30786
L2,BR,10212610,25085,121011,639,30825
L2,BR,10212710,10730,66590,230,14274
L2,BR,10212810,16610,65621,778,30736
L2,BR,10212811,576,45523,26,20548
L2,BR,10212812,699,30083,52,22379
L2,BR,10212813,608,52427,15,12934
L2,BR,10212910,41882,39000,2330,21697
L2,BR,10212911,834,7075,173,14677
L2,BR,10212912,2651,15212,326,18707
L2,BR,10212913,1447,48626,41,13778
L2,BR,10213010,91593,157786,3001,51698
